work_key,author,title,group,code
5|reynek-bohuslav|rty-a-zuby,"REYNEK, Bohuslav","Rty a zuby",narodni,
5|seifert-jaroslav|na-vlnach-tsf,"SEIFERT, Jaroslav","Na vlnách TSF",narodni,
5|seifert-jaroslav|morovy-sloup,"SEIFERT, Jaroslav","Morový sloup",narodni,
5|skacel-jan|co-zbylo-z-andela,"SKÁCEL, Jan","Co zbylo z anděla",narodni,
5|skacel-jan|kdo-pije-potme-vino,"SKÁCEL, Jan","Kdo pije potmě víno",narodni,
5|stancakova-alzbeta|cacak,"STANČÁKOVÁ, Alžběta",Čačak,narodni,
5|siktanc-karel|tanec-smrti,"ŠIKTANC, Karel","Tanec smrti",narodni,
5|topol-jachym|miluju-te-k-zblazneni,"TOPOL, Jáchym","Miluju tě k zbláznění",narodni,
5|wernisch-ivan|zimohradek,"WERNISCH, Ivan",Zimohrádek,narodni,
5|wernisch-ivan|zapadlo-slunce-za-dnem,"WERNISCH, Ivan","Zapadlo slunce za dnem",narodni,
5|wolker-jiri|tezka-hodina,"WOLKER, Jiří","Těžká hodina",narodni,
5|zahradnicek-jan|jeraby,"ZAHRADNÍČEK, Jan",Jeřáby,narodni,
5|zahradnicek-jan|znameni-moci,"ZAHRADNÍČEK, Jan","Znamení moci",narodni,
