work_key,author,title,group,code
1|anon|smich-stare-francie-soubor-stredovekych-fabliaux,,Smích staré Francie. Soubor středověkých fabliaux,forma,poezie
1|anon|smich-stare-francie-soubor-stredovekych-fabliaux,,Smích staré Francie. Soubor středověkých fabliaux,podobdobi,stredovek
1|sofokles|kral-oidipus,SOFOKLES,Král Oidipus,narodni,svetova
1|sofokles|kral-oidipus,SOFOKLES,Král Oidipus,forma,drama
1|sofokles|kral-oidipus,SOFOKLES,Král Oidipus,podobdobi,starovek
1|sofokles|antigona,SOFOKLES,Antigona,narodni,svetova
1|sofokles|antigona,SOFOKLES,Antigona,forma,drama
1|sofokles|antigona,SOFOKLES,Antigona,podobdobi,starovek
1|sofokles|elektra,SOFOKLES,Elektra,narodni,svetova
1|sofokles|elektra,SOFOKLES,Elektra,forma,drama
1|sofokles|elektra,SOFOKLES,Elektra,podobdobi,starovek
1|anon|stary-zakon,,Starý zákon,narodni,svetova
1|anon|stary-zakon,,Starý zákon,forma,proza
1|anon|stary-zakon,,Starý zákon,podobdobi,starovek
1|sterne-laurence|zivot-a-nazory-blahorodeho-pana-tristrama-shandyho,"STERNE, Laurence",Život a názory blahorodého pana Tristrama Shandyho,narodni,svetova
1|sterne-laurence|zivot-a-nazory-blahorodeho-pana-tristrama-shandyho,"STERNE, Laurence",Život a názory blahorodého pana Tristrama Shandyho,forma,proza
1|sterne-laurence|zivot-a-nazory-blahorodeho-pana-tristrama-shandyho,"STERNE, Laurence",Život a názory blahorodého pana Tristrama Shandyho,podobdobi,klasicismus
1|swift-jonathan|gulliverovy-cesty,"SWIFT, Jonathan",Gulliverovy cesty,narodni,svetova
1|swift-jonathan|gulliverovy-cesty,"SWIFT, Jonathan",Gulliverovy cesty,forma,proza
1|swift-jonathan|gulliverovy-cesty,"SWIFT, Jonathan",Gulliverovy cesty,podobdobi,klasicismus
1|vaclav-vratislav-z-mitrovic|prihody-vaclava-vratislava-z-mitrovic,VÁCLAV VRATISLAV Z MITROVIC,Příhody Václava Vratislava z Mitrovic,narodni,ceska
1|vaclav-vratislav-z-mitrovic|prihody-vaclava-vratislava-z-mitrovic,VÁCLAV VRATISLAV Z MITROVIC,Příhody Václava Vratislava z Mitrovic,forma,proza
1|vaclav-vratislav-z-mitrovic|prihody-vaclava-vratislava-z-mitrovic,VÁCLAV VRATISLAV Z MITROVIC,Příhody Václava Vratislava z Mitrovic,podobdobi,baroko
1|vergilius|aeneis,VERGILIUS,Aeneis,narodni,svetova
1|vergilius|aeneis,VERGILIUS,Aeneis,podobdobi,starovek
1|villon-francois|basne,"VILLON, Francois",Básně,narodni,svetova
1|villon-francois|basne,"VILLON, Francois",Básně,forma,poezie
1|villon-francois|basne,"VILLON, Francois",Básně,podobdobi,stredovek
1|anon|vita-caroli,,Vita Caroli,narodni,ceska
1|anon|vita-caroli,,Vita Caroli,forma,proza
1|anon|vita-caroli,,Vita Caroli,podobdobi,stredovek
1|voltaire|candide,VOLTAIRE,Candide,narodni,svetova
1|voltaire|candide,VOLTAIRE,Candide,forma,proza
1|voltaire|candide,VOLTAIRE,Candide,podobdobi,klasicismus
1|de-voragine-jacobus|legenda-aurea,"de VORAGINE, Jacobus",Legenda aurea,narodni,svetova
